代理商 (Division),客户,客户名称,渠道分类,客户分类,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,RMB,毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales),毛销售 (Gross Sales)
温州赫利佳,9100086307,温州新美路58-62号,食杂店,Non-KA,749.71,"1,090.50",233.82,329.48,729.08,334.83,577.26,283.79,293.39,396.82,"1,507.69",210.56,,151.14,,"6,888.07"
温州赫利佳,9100086309,温州龙庆北路196号,食杂店,Non-KA,579.32,737.13,496.08,639.28,582.52,383.22,,651.62,,158.90,246.36,326.88,35.72,,,"4,837.03"
温州赫利佳,9100086312,温州龙河市场485号,食杂店,Non-KA,,249.29,317.80,,,,,,,,,,,,,567.09
温州赫利佳,9100086313,温州商华锦园B幢14号阿友酒行,食杂店,Non-KA,635.60,695.08,236.24,261.52,377.28,210.89,577.78,298.45,241.02,754.56,176.97,456.00,,387.16,,"5,308.55"
温州赫利佳,9100086314,温州北外29号,食杂店,Non-KA,,,,,,,,635.60,,857.28,"1,921.52",617.92,,"10,716.00",,"14,748.32"
温州赫利佳,9100086315,温州微微龙阳路72-74号,食杂店,Non-KA,332.96,349.50,281.52,,203.72,221.39,383.53,281.52,288.48,377.28,924.08,"1,551.14",144.24,857.28,,"6,196.64"
温州赫利佳,9100086319,温州大众超市,食杂店,Non-KA,959.78,408.97,288.48,65.04,642.00,170.51,618.09,574.24,,"1,008.82",,,12.02,660.72,,"5,408.67"
温州赫利佳,9100086320,温州龙亭东路83号,食杂店,Non-KA,,335.66,,,,,,,,,,,,,,335.66
温州赫利佳,9100086466,温州宜山万福批发,批发商,WS,230.34,303.40,,648.90,"1,058.76",955.40,,"6,356.00",,"5,321.20",359.92,,,418.69,,"15,652.61"
温州赫利佳,9100086467,温州景美乐,食杂店,Non-KA,405.76,962.01,260.16,,"1,160.32",497.76,588.08,496.08,209.28,448.89,277.86,388.28,142.88,"1,296.64",,"7,134.00"
温州赫利佳,9100086469,温州鲤河中街13-15号顾新东,食杂店,Non-KA,303.14,"1,012.88",588.08,203.34,524.72,445.45,255.08,225.00,,"1,015.69",921.36,"1,401.34",35.72,317.80,,"7,249.60"
温州赫利佳,9100086472,温州雅中供销超市,小型超级市场,Non-KA,"1,321.07",299.51,65.04,615.22,524.72,158.90,138.96,472.72,196.68,945.88,241.02,725.82,234.56,71.44,,"6,011.54"
温州赫利佳,9100086572,温州望里永华超市,食杂店,Non-KA,343.93,335.16,672.24,460.69,499.44,181.33,763.16,363.64,277.63,968.88,347.96,528.98,144.24,118.96,,"6,006.24"
温州赫利佳,9100086573,温州菜市街18号陈满茶,食杂店,Non-KA,378.80,,460.68,635.91,353.52,496.08,550.08,281.52,,"1,616.44",799.84,570.00,72.12,635.60,,"6,850.59"
温州赫利佳,9100086926,温州华园超市龙港店,小型超级市场,Non-KA,"1,417.80","1,272.04",,234.56,,763.16,306.00,376.34,268.98,365.48,412.65,372.24,266.08,280.86,,"6,336.19"
温州赫利佳,9100087148,温州大海超市,食杂店,Non-KA,215.68,,,351.84,140.38,,,,264.44,,,140.38,158.90,,,"1,271.62"
温州赫利佳,9100087496,温州美宜佳超市,小型超级市场,Non-KA,158.90,250.07,176.76,,353.71,181.33,26.61,584.92,,601.37,206.12,528.98,375.84,216.00,,"3,660.61"
温州赫利佳,9100087497,温州斗门沿湖路利得隆,食杂店,Non-KA,,,954.52,,489.04,236.24,305.84,304.68,,215.68,599.72,579.32,,,,"3,685.04"
温州赫利佳,9100087498,温州好再来超市龙港店,小型超级市场,Non-KA,642.53,219.83,334.71,934.24,268.76,"1,058.40",496.08,234.75,443.04,828.62,442.10,"1,061.94",285.76,144.24,,"7,395.00"
温州赫利佳,9100087585,温州通港路434号,食杂店,Non-KA,,321.00,,,,,,,,,,,,,,321.00
温州赫利佳,9100088171,温州新竹园翁孔锐,小型超级市场,Non-KA,"1,878.48","1,415.44","3,239.24","2,002.90","1,978.15","1,378.69","1,543.61","4,284.82",404.31,"1,488.94","2,439.45","2,665.38","2,729.56","1,786.07",360.60,"29,595.64"
温州赫利佳,9100088559,温州万得福超市,小型超级市场,Non-KA,214.32,754.56,798.36,130.08,185.28,578.08,292.24,317.80,344.59,491.43,241.02,246.36,234.56,176.15,,"5,004.83"
温州赫利佳,9100088600,温州苏家爱华金乡店,小型超级市场,Non-KA,"1,389.32",218.38,447.38,447.38,875.70,261.52,782.02,303.14,375.51,347.96,158.90,443.01,263.20,28.11,,"6,341.53"
温州赫利佳,9100090242,温州司前供销,小型超级市场,Non-KA,"3,664.09","3,243.81","1,755.65","4,608.23","1,758.23","1,839.25","1,475.22","5,038.55",729.50,"1,833.32","2,069.05","2,416.79","2,461.52","3,688.74",203.72,"36,785.67"
温州赫利佳,9100090243,温州南麂张国华,食杂店,Non-KA,432.72,188.72,158.90,317.80,496.08,317.80,645.88,222.56,,301.78,,,118.96,,,"3,201.20"
温州赫利佳,9100093518,温州世纪华联沪山店,小型超级市场,Non-KA,394.56,780.34,813.47,"1,723.89",400.44,738.14,"1,015.58",532.62,235.92,"1,208.15",404.97,284.11,285.76,"2,467.32",142.88,"11,428.15"
温州赫利佳,9100096096,温州永华南鹤店,小型超级市场,Non-KA,419.06,"1,277.64",521.32,469.12,496.08,574.60,784.64,603.56,277.63,199.40,650.76,734.86,,"1,137.58",,"8,146.25"
温州赫利佳,9100099025,温州港河路119-121号,食杂店,Non-KA,275.16,181.39,,,261.52,711.51,434.48,377.28,,230.34,405.26,502.49,72.12,575.28,,"4,026.83"
温州赫利佳,9100099905,温州日新超市,小型超级市场,Non-KA,"2,322.23","2,627.88","1,134.35","2,953.60","1,298.88","1,811.90","1,434.71","2,820.50","1,930.21","1,597.22","2,896.46","2,293.76","1,785.70","2,929.91",512.79,"30,350.10"
温州赫利佳,9100099909,温州东新街411号,食杂店,Non-KA,404.40,218.38,279.20,,,,,,,,,,,,,901.98
温州赫利佳,9100099911,温州中市街18号 朱迎春,食杂店,Non-KA,606.28,,,293.39,496.08,451.44,59.48,650.81,,117.01,373.91,284.11,461.94,151.52,,"3,945.97"
温州赫利佳,9100099913,温州求知东路4812号,食杂店,Non-KA,"1,727.02","1,149.52",782.50,393.28,"1,612.76",624.79,157.76,769.16,"1,120.28",,"2,108.32","2,888.44",923.97,707.04,,"14,964.84"
温州赫利佳,9100099914,温州凤尾超市,小型超级市场,Non-KA,188.72,377.28,144.24,380.10,615.04,653.87,470.80,222.50,,706.52,347.36,343.59,35.72,142.88,,"4,628.62"
温州赫利佳,9100100028,温州副食品市场58-59号陈小影,批发商,WS,,"58,111.20","21,284.80","26,044.00",,"19,068.00","7,982.40",,,492.72,"3,870.24",,,"10,387.60",,"147,240.96"
温州赫利佳,9100100156,温州凤尾路32号,食杂店,Non-KA,,355.40,158.90,,,,,,,,,,,,,514.30
温州赫利佳,9100100161,温州合家欢,食杂店,Non-KA,,293.39,276.18,,,,,,,,,,,,,569.57
温州赫利佳,9100100237,温州第二菜市场1号高玉琴,食杂店,Non-KA,432.72,,963.96,635.60,497.76,312.53,176.76,236.24,288.48,"1,330.92",323.14,570.24,144.24,"1,104.44",,"7,017.03"
温州赫利佳,9100100238,温州人民路1124号黄金桂,食杂店,Non-KA,513.68,117.28,241.02,,230.34,200.35,359.47,532.00,,"1,578.16",71.44,234.56,24.04,891.06,,"4,993.40"
温州赫利佳,9100100239,温州斗门村大家乐,食杂店,Non-KA,"2,174.45","1,330.68","1,016.86",328.24,,"1,394.89","1,754.09",,,,,,"1,815.17",694.72,,"10,509.10"
